Time;ms+-;Power;Stabw P;Gleichspannung;Gleichrichtwert;Effektivwert;Scheitelfaktor;Amplitude;Abs. MaxA;Stabw Ieff;Stabw Imid;Stabw Iss;THD;Phase;Number;OW0 [%];OW2 [%];OW3 [%];OW4 [%];OW5 [%];OW6 [%];OW7 [%];OW8 [%];OW9 [%];OW10 [%];OW11 [%];OW12 [%];OW13 [%];OW14 [%];Temperature;Conversion;EDRchannel
0;0.00E+00;455.2631694;12.27329778;-0.669425383;18.56520142;21.19027;1.370677383;29.0932019;46.31855068;0.295881283;0.800642517;4.941699717;22.80776577;1.503827017;48.63333333;3.441631633;2.5628755;14.45889458;1.0207139;9.057756983;1.095799167;12.24479495;1.1194993;6.787684533;0.971862867;3.724855667;0.7477682;2.216246783;0.7332698;0.00E+00;0.00E+00;6.041
1;0.00E+00;156.8485767;2.86096535;-0.669335333;10.12877093;12.58409177;1.306199683;16.43735122;32.31901965;0.113466267;0.5328001;3.377782967;40.15373665;0.051190267;48.5;5.80809775;1.772127;24.20340017;1.865485467;14.18323447;1.82469195;24.09378115;1.652303383;11.10849033;1.519044367;8.886267067;1.155133767;4.871273217;1.083761533;0.00E+00;0.00E+00;6.041
2;0.00E+00;155.7622803;2.77627655;-0.668393633;10.08441307;12.54005545;1.305906;16.37612615;32.05195593;0.11039465;0.49069055;3.099007717;40.28428807;0.191762833;48.75;5.818399017;1.732856533;24.21431505;1.841437767;14.3079466;1.800020233;24.1163922;1.622020783;11.18382998;1.4868331;9.041597983;1.150525333;5.011631317;1.090779217;0.00E+00;0.00E+00;6.041
3;0.00E+00;153.2876477;2.691682667;-0.670739017;10.02922385;12.44063473;1.30373375;16.21926462;31.61905723;0.107788983;0.524538417;3.1879514;40.73718123;0.096795433;48.05;5.89743755;1.684384917;24.51105215;1.857896617;14.3782906;1.808708717;24.46943722;1.6414059;11.28254393;1.497547233;9.075892383;1.216282433;5.018354233;1.1254958;0.00E+00;0.00E+00;6.041
4;0.00E+00;353.4404694;5.560496033;-0.670138133;15.48857565;18.39970863;1.352800367;25.0297662;41.0469997;0.154579733;0.518285033;3.429326817;28.60389135;0.083489;48.86666667;4.124743867;1.085518117;17.1058046;1.3490477;9.892078167;1.288451667;17.50670535;1.123508783;7.7408682;1.060480633;6.33668755;0.8725046;3.458800833;0.7757623;0.00E+00;0.00E+00;6.041
5;0.00E+00;317.1213184;6.110219817;-0.67190015;14.4926012;17.32247047;1.3433048;23.42494577;39.39137902;0.179524217;0.499642667;3.440086517;30.82905985;0.225731283;48.38333333;4.44564585;1.3750606;18.36497565;1.448062367;10.6721859;1.374823833;18.82071947;1.214723233;8.440337767;1.115943167;6.938914967;0.8937043;3.836761883;0.810623833;0.00E+00;0.00E+00;6.041
6;0.00E+00;152.9759946;2.568767783;-0.6656425;10.00468628;12.42749043;1.3011012;16.1694015;31.82094618;0.1027549;0.530593833;3.214089217;41.26006772;0.239135733;48;5.8697881;1.801992367;24.45286953;1.932206467;14.40870753;1.8230381;24.92757135;1.591528633;11.7120081;1.487427817;9.444733983;1.184068017;5.504750617;1.118004633;0.00E+00;0.00E+00;6.041
7;0.00E+00;152.9530715;2.698779517;-0.66809545;10.00759435;12.4279735;1.301747117;16.17806517;31.8243881;0.1080613;0.532190033;3.206754917;41.1183101;0.154627767;48.45;5.8852673;1.850489083;24.55009287;1.949726883;14.38544845;1.869676667;24.75061313;1.603294233;11.61209712;1.497654583;9.2675883;1.193879467;5.312904133;1.166359583;0.00E+00;0.00E+00;6.041
8;0.00E+00;152.3732706;2.777978367;-0.672244633;9.996776467;12.4048347;1.30312675;16.16506925;31.6265237;0.110675083;0.524873967;3.280459533;40.85957397;0.161499617;49;5.930729083;1.878386917;24.42953903;1.93492895;14.3242052;1.8383665;24.5607021;1.6081857;11.45271165;1.490571467;9.251149467;1.144349183;5.318332033;1.096258183;0.00E+00;0.00E+00;6.041
9;0.00E+00;152.3297882;2.70162465;-0.669652533;9.994957017;12.4031436;1.302573867;16.15598798;31.63656587;0.109017683;0.488243133;3.202167333;40.970223;0.300123283;48.51666667;5.907442583;1.840172683;24.49971433;1.982311667;14.32877677;1.853398133;24.65627918;1.579569783;11.45134925;1.467436733;9.336093817;1.210153117;5.244208983;1.083920567;0.00E+00;0.00E+00;6.041
10;0.00E+00;151.8761753;2.7321137;-0.669603383;9.976271883;12.38463538;1.301906017;16.12361395;31.84526597;0.109910483;0.56880085;3.441022967;41.05556722;0.231729533;48.38333333;5.919313833;1.887850033;24.37865313;1.951955217;14.3520118;1.844049383;24.82804577;1.613057317;11.52757937;1.48972635;9.378120983;1.211345033;5.34220065;1.1566828;0.00E+00;0.00E+00;6.041
11;0.00E+00;152.2350754;2.6696843;-0.677930433;9.985520883;12.39906435;1.301477467;16.13708987;31.74566633;0.106905733;0.535557783;3.278283867;41.14925588;0.342170367;48.56666667;5.991130767;1.857270367;24.4283531;1.91072445;14.28196403;1.816141817;24.88483317;1.577919933;11.64003887;1.461569783;9.4735013;1.1764007;5.3937159;1.08949045;0.00E+00;0.00E+00;6.041
12;0.00E+00;359.4661518;38.84672563;-0.670897233;16.06306422;18.65113553;1.347713733;25.14879782;44.22280977;0.551663867;1.305505983;7.431079783;27.56323908;1.71899615;48.45;4.71505525;2.706940767;16.96472607;1.241235017;10.78649138;1.257431833;15.2314755;1.228817567;8.133109483;1.076653983;5.2413024;0.832319567;3.066400567;0.7586387;0.00E+00;0.00E+00;6.041
13;0.00E+00;443.4569152;7.728904467;-0.67204845;18.55058098;21.08952002;1.3750314;28.9988351;46.1325768;0.183020417;0.767313733;4.254769483;22.45778065;1.884718983;48.86666667;3.368936467;3.097893883;14.1716431;0.920259183;9.201779467;1.027742717;11.9434223;1.130126517;6.68457845;0.978876383;3.390775033;0.72669535;2.21548305;0.690306383;0.00E+00;0.00E+00;6.041
14;0.00E+00;439.8272798;6.833287617;-0.670257033;18.4705139;21.00285895;1.37444755;28.86740498;46.1725231;0.1621909;0.767939933;4.23826585;22.62979383;1.889015567;48.6;3.356587233;3.02184805;14.18701915;0.931364767;9.272768533;1.029146083;12.11311283;1.112909233;6.825535983;0.968378233;3.450327983;0.73551365;2.228392467;0.661168567;0.00E+00;0.00E+00;6.041
15;0.00E+00;439.7253351;6.4188668;-0.6677046;18.4686724;21.00001395;1.374505333;28.86475613;46.01511462;0.152857;0.728674783;4.117872467;22.59826033;1.96550815;48.86666667;3.33391725;3.0409722;14.17905305;0.906912783;9.219780233;1.014873717;12.0517313;1.129502067;6.906059767;0.985404283;3.474023733;0.69470135;2.2187496;0.6438437;0.00E+00;0.00E+00;6.041
16;0.00E+00;434.6088317;7.567501267;-0.66787115;18.35563222;20.87685963;1.373945383;28.68392263;45.7462423;0.18114265;0.738038767;4.186703467;22.70169743;1.993513267;48.88333333;3.382538017;3.037746417;14.34038142;0.925703083;9.180831067;1.026893;12.11078755;1.121636133;6.91521195;0.991236183;3.37318305;0.729532417;2.19189505;0.6606512;0.00E+00;0.00E+00;6.041
17;0.00E+00;419.3788486;6.956981283;-0.669504683;18.01105372;20.51069912;1.3725288;28.15160495;45.3315478;0.16927425;0.781079417;4.375366967;23.0756526;1.847482433;48.5;3.427701783;3.0985804;14.58033403;0.973907617;9.209736867;1.07059595;12.35446233;1.1443942;7.072501133;1.028001183;3.458990233;0.761649233;2.214765417;0.680150917;0.00E+00;0.00E+00;6.041
18;0.00E+00;418.4529211;7.090767467;-0.671554517;17.9893448;20.48845182;1.372640067;28.12333328;45.09581125;0.173184567;0.735308367;3.9656885;23.08698482;1.8662405;48.45;3.461610217;3.116908033;14.58360628;0.958637717;9.262715983;1.07012885;12.3229188;1.1562775;7.085686667;1.01503485;3.461176467;0.729847467;2.235665633;0.660251083;0.00E+00;0.00E+00;6.041
19;0.00E+00;419.0475864;7.48451315;-0.670910567;18.00543638;20.50305233;1.372862667;28.14795035;45.40195878;0.18224225;0.78186;4.34521015;23.09556908;1.920249617;48.46666667;3.452760667;3.129417283;14.499573;0.982075867;9.300323417;1.078123333;12.38951308;1.11993885;7.09488565;0.983679483;3.47880395;0.73373515;2.27970895;0.66139465;0.00E+00;0.00E+00;6.041
20;0.00E+00;415.375988;7.147870117;-0.674384533;17.91524763;20.41343888;1.372223433;28.01189535;45.48122238;0.174690567;0.781055867;4.389771617;23.28266622;1.840881367;48.5;3.478825517;3.09699605;14.66645953;0.9868982;9.469148783;1.085670683;12.35272418;1.134569833;7.127956167;0.990872133;3.609352517;0.748347833;2.315318333;0.705942117;0.00E+00;0.00E+00;6.041
21;0.00E+00;414.097829;11.21988883;-0.66691765;17.66489725;20.20453012;1.365185983;27.6428952;44.89581308;0.2829228;0.712207683;4.596574617;24.23868182;1.746760817;48.56666667;3.625566233;2.686017967;15.18389532;0.996418233;9.670647;1.08335235;13.10240697;1.147740783;7.43175845;1.004121333;3.902875467;0.728463033;2.480303517;0.67632565;0.00E+00;0.00E+00;6.041
22;0.00E+00;148.0615535;2.6104817;-0.6697833;9.855608183;12.22526298;1.2974552;15.86170082;31.01227457;0.105863767;0.490545517;3.16550635;42.02717345;0.440620283;48.5;6.017588517;1.55006;25.0025133;1.83527735;14.68136695;1.7601461;25.36551745;1.58385225;11.95144438;1.540524633;9.44958725;1.176378533;5.713046633;1.0282587;0.00E+00;0.00E+00;6.041
23;0.00E+00;148.4397544;2.634272983;-0.668917533;9.873617417;12.24121813;1.297978067;15.88881568;31.04438522;0.106987217;0.525407133;3.114490367;41.90685227;0.30652475;48.55;6.00426345;1.56411395;25.03211028;1.837753983;14.65020323;1.78068235;25.24812275;1.59723545;11.864569;1.53778645;9.365000533;1.191779317;5.607613033;1.086410567;0.00E+00;0.00E+00;6.041
24;0.00E+00;219.5134305;3.585350433;-0.670951783;11.89240157;14.44698037;1.318551833;19.16557312;34.75113618;0.121329867;0.537122167;3.54395125;36.94926418;0.234275967;48.55;5.319129283;1.51540325;22.05062457;1.64335105;12.85758388;1.5916774;22.36841688;1.457096333;10.32705865;1.367435183;8.237523833;1.040515867;4.913929917;0.985842183;0.00E+00;0.00E+00;6.041
25;0.00E+00;354.9353149;5.8649232;-0.668980117;15.76353612;18.67891947;1.3591666;25.45937417;41.3118103;0.165223633;0.521423417;3.450719733;27.2090419;0.3797261;48.65;3.9019569;1.154617867;16.0678893;1.252395517;9.2860987;1.194920417;16.81994637;1.036690333;7.445939233;0.995005183;6.061822333;0.75492705;3.57161415;0.6790692;0.00E+00;0.00E+00;6.041
26;0.00E+00;147.7614189;2.50931835;-0.671545867;9.853898517;12.21572442;1.297857117;15.85424727;31.07839832;0.101941483;0.521154417;3.170301033;41.91431793;0.36209185;48.55;6.03868125;1.925080267;24.89680743;1.902388283;14.56956663;1.828051533;25.33031432;1.598749367;11.94769853;1.499343667;9.434811017;1.150735317;5.6664536;1.100561167;0.00E+00;0.00E+00;6.041
27;0.00E+00;147.9664464;2.567846717;-0.683145233;9.858287767;12.2253789;1.297781767;15.86585602;31.22398253;0.10417;0.533589567;3.28788355;41.90895757;0.2493661;48.43333333;6.140783267;1.860470967;24.91536047;1.905362767;14.61255582;1.816170317;25.29607042;1.612969467;11.88717852;1.527732433;9.472837533;1.17854335;5.646959683;1.134074817;0.00E+00;0.00E+00;6.041
